time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-11-08,112,63.25,63.44,62.86,62.96,1597360,-0.0030087094220110355,0.006494430753171999,2387892.45,0.6689413503526928,Low,False,False,60.27,65.74,34.361388895801724,10.98591549295775,13.615023474178344,-0.03271745784555369,22.53657207705802,0,1,-1,0,0,Neutral
2024-11-11,113,62.96,63.05,62.0,62.48,2742114,-0.007623888182973326,0.006512668275793853,2383726.7,1.1503474790125898,High,False,True,60.27,65.16,31.09160269588962,11.650485436893115,12.99147636628829,-0.042565381107007916,23.633769362184065,0,1,-1,-1,-1,Sell
2024-11-12,114,62.48,62.96,62.1,62.19,1734699,-0.004641485275288071,0.006468028691764641,2316549.65,0.7488287591850233,Low,False,False,60.27,64.49,29.278828201626325,4.611650485436833,9.082683805095895,-0.057642995195991586,24.65259541265825,1,1,-1,0,1,Buy
2024-11-13,115,62.38,62.86,62.0,62.29,2773315,0.0016079755587714573,0.0058883853060142126,2354907.35,1.1776747819823994,High,False,False,60.27,64.49,30.777594926575034,7.754010695187153,8.005382205839032,-0.05018781579967191,25.695826018892323,0,1,-1,0,0,Neutral
2024-11-14,116,62.29,62.29,62.0,62.29,1781237,0.0,0.005851287811806495,2361025.25,0.7544336935829042,Low,False,False,60.27,63.82,30.777594926575034,9.177215189873401,7.180958790165792,-0.03526770900018994,26.664540153252535,0,1,-1,0,0,Neutral
2024-11-15,117,62.19,62.19,61.04,61.04,3697005,-0.020067426553218803,0.007120743837807858,2465896.7,1.4992538008587302,Very High,False,True,60.27,63.82,23.544126925600807,0.0,5.643741961686847,-0.09614256450615999,28.414806159047277,1,1,-1,-1,0,Neutral
2024-11-18,118,61.04,61.52,60.56,60.56,3752034,-0.007863695937090354,0.007201955400483489,2560381.6,1.4654198421047862,Very High,False,True,60.27,63.82,21.458541456230748,0.0,3.0590717299577967,-0.1519743439844493,30.37315352952563,1,1,-1,-1,0,Neutral
2024-11-19,119,60.66,60.85,60.37,60.37,2736295,-0.003137384412153277,0.007164626040593143,2584530.0,1.0587205410654936,High,False,True,60.27,63.44,20.67773150308436,0.0,0.0,-0.18286492419300682,32.31502923463098,1,1,-1,-1,0,Neutral
2024-11-20,120,60.37,61.14,60.27,60.95,2820172,0.009607420904422792,0.007697727529320529,2643670.6,1.0667637639878433,High,True,False,60.27,63.44,29.152515748321818,19.154929577464795,6.384976525821595,-0.1469471213402086,33.43829087112348,1,1,-1,1,2,Buy
2024-11-21,121,61.04,61.42,60.75,61.23,2255565,0.004593929450368961,0.0065037445142783696,2537951.35,0.8887345299191807,Normal,False,False,60.27,63.44,32.88068614779448,27.042253521126607,15.399061032863798,-0.0898483657863356,33.856328992704405,0,0,-1,0,-1,Sell
